"case_id","crime_id"
"3359","6855"
"3360","6856"
"3361","6857"
"3361","6858"
"3362","6859"
"3363","6860"
"3364","6861"
"3365","6862"
"3366","6863"
"3367","6864"
"3368","6865"
"3369","6866"
"3370","6867"
"3371","6868"
"3372","6869"
"3373","6870"
"3374","6871"
"3375","6872"
"3376","6873"
"3377","6874"
"3377","6875"
"3378","6876"
"3379","6877"
"3380","6878"
"3381","6879"
"3382","6880"
"3382","6881"
"3383","6882"
"3384","6883"
"3385","6884"
"3386","6885"
"3387","6886"
"3388","6887"
"3389","6888"
"3390","6889"
"3391","6890"
"3392","6891"
"3393","6892"
"3394","6893"
"3395","6894"
"3396","6895"
"3396","6896"
"3397","6897"
"3397","6898"
"3398","6899"
"3398","6900"
"3399","6901"
"3400","6902"
"3400","6903"
"3401","6904"
"3402","6905"
"3402","6906"
"3403","6907"
"3404","6908"
"3405","6909"
"3406","6910"
"3407","6911"
"3408","6912"
"3408","6913"
"3409","6914"
"3409","6915"
"3410","6916"
"3411","6917"
"3412","6918"
"3412","6919"
"3413","6920"
"3414","6921"
"3415","6922"
"3416","6923"
"3417","6924"
"3418","6925"
"3419","6926"
"3420","6927"
"3421","6928"
"3422","6929"
"3422","6930"
"3423","6931"
"3424","6932"
"3424","6933"
"3425","6934"
"3425","6935"
"3426","6936"
"3426","6937"
"3426","6938"
"3427","6939"
"3428","6940"
"3429","6941"
"3430","6942"
"3431","6943"
"3432","6944"
"3432","6945"
"3433","6946"
"3434","6947"
"3435","6948"
"3436","6949"
"3437","6950"
"3438","6951"
"3439","6952"
"3440","6953"
"3441","6954"
"3442","6955"
"3442","6956"
"3442","6957"
"3443","6958"
"3444","6959"
"3445","6960"
"3446","6961"
"3447","6962"
"3448","6963"
"3449","6964"
"3450","6965"
"3451","6966"
"3452","6967"
"3453","6968"
"3454","6969"
"3455","6970"
"3456","6971"
"3457","6972"
"3457","6973"
"3458","6974"
"3459","6975"
"3460","6976"
"3461","6977"
"3462","6978"
"3463","6979"
"3464","6980"
"3465","6981"
"3466","6982"
"3467","6983"
"3468","6984"
"3469","6985"
"3470","6986"
"3471","6987"
"3472","6988"
"3473","6989"
"3474","6990"
"3475","6991"
"3476","6992"
"3477","6993"
"3478","6994"
"3479","6995"
"3479","6996"
"3480","6997"
"3481","6998"
"3482","6999"
"3483","7000"
"3484","7001"
"3485","7002"
"3486","7003"
"3487","7004"
"3488","7005"
"3489","7006"
"3489","7007"
"3490","7008"
"3491","7009"
"3492","7010"
"3493","7011"
"3494","7012"
"3495","7013"
"3496","7014"
"3497","7015"
"3498","7016"
"3499","7017"
"3500","7018"
"3501","7019"
"3502","7020"
"3503","7021"
"3504","7022"
"3505","7023"
"3506","7024"
"3507","7025"
"3508","7026"
"3509","7027"
"3510","7028"
"3511","7029"
"3512","7030"
"3513","7031"
"3514","7032"
"3515","7033"
"3516","7034"
"3517","7035"
"3518","7036"
"3518","7037"
"3519","7038"
"3520","7039"
"3521","7040"
"3522","7041"
"3523","7042"
"3524","7043"
"3525","7044"
"3526","7045"
"3527","7046"
"3528","7047"
"3529","7048"
"3530","7049"
"3531","7050"
"3532","7051"
"3533","7052"
"3534","7053"
"3535","7054"
"3536","7055"
"3537","7056"
"3538","7057"
"3539","7058"
"3539","7059"
"3540","7060"
"3541","7061"
"3542","7062"
"3543","7063"
"3544","7064"
"3545","7065"
"3546","7066"
"3547","7067"
"3548","7068"
"3549","7069"
"3550","7070"
"3551","7071"
"3552","7072"
"3553","7073"
"3554","7074"
"3555","7075"
"3556","7076"
"3557","7077"
"3558","7078"
"3559","7079"
"3560","7080"
"3561","7081"
"3562","7082"
"3563","7083"
"3564","7084"
"3565","7085"
"3566","7086"
"3567","7087"
"3568","7088"
"3569","7089"
"3569","7090"
"3570","7091"
"3571","7092"
"3572","7093"
"3573","7094"
"3574","7095"
"3575","7096"
"3576","7097"
"3577","7098"
"3578","7099"
"3579","7100"
"3580","7101"
"3581","7102"
"3582","7103"
