"case_id","person_id"
"3359","956"
"3360","906"
"3361","2878"
"3362","226"
"3363","2594"
"3364","2511"
"3365","633"
"3366","2670"
"3367","2734"
"3368","1062"
"3369","40"
"3370","368"
"3371","56"
"3372","3005"
"3373","1865"
"3374","1512"
"3375","1397"
"3376","624"
"3377","236"
"3378","1720"
"3379","1404"
"3380","2992"
"3381","2561"
"3382","2138"
"3383","1083"
"3384","2160"
"3385","1548"
"3386","1223"
"3387","1060"
"3388","1809"
"3389","3146"
"3390","2098"
"3391","2198"
"3392","1154"
"3393","156"
"3394","3200"
"3395","873"
"3396","874"
"3397","962"
"3398","3085"
"3399","199"
"3400","722"
"3401","1343"
"3402","272"
"3403","2189"
"3404","2243"
"3405","3118"
"3406","3358"
"3407","1595"
"3408","1288"
"3409","2856"
"3410","3194"
"3411","3320"
"3412","64"
"3413","1010"
"3414","819"
"3415","2469"
"3416","465"
"3417","1705"
"3418","672"
"3419","1741"
"3420","3309"
"3421","1728"
"3422","716"
"3423","1225"
"3424","505"
"3425","2666"
"3426","1296"
"3427","1057"
"3428","3156"
"3429","681"
"3430","2300"
"3431","1506"
"3432","2795"
"3433","2263"
"3434","2006"
"3435","1322"
"3436","3231"
"3437","1208"
"3438","1271"
"3439","936"
"3440","168"
"3441","1035"
"3442","699"
"3443","778"
"3444","1847"
"3445","2364"
"3446","638"
"3447","704"
"3448","2654"
"3449","102"
"3450","1199"
"3451","2681"
"3452","1861"
"3453","1417"
"3454","2571"
"3455","2852"
"3456","181"
"3457","2285"
"3458","151"
"3459","898"
"3460","471"
"3461","2618"
"3462","3116"
"3463","2420"
"3464","2311"
"3465","616"
"3466","1742"
"3467","607"
"3468","2947"
"3469","3174"
"3470","308"
"3471","594"
"3472","238"
"3473","399"
"3474","3017"
"3475","2472"
"3476","1205"
"3477","237"
"3478","2809"
"3479","2452"
"3480","1118"
"3481","2245"
"3482","257"
"3483","2391"
"3484","3125"
"3485","187"
"3486","3235"
"3487","3268"
"3488","2833"
"3489","87"
"3490","69"
"3491","808"
"3492","1950"
"3493","2938"
"3494","1755"
"3495","1016"
"3496","1071"
"3497","2074"
"3498","2512"
"3499","1778"
"3500","353"
"3501","1988"
"3502","1395"
"3503","3190"
"3504","222"
"3505","1353"
"3506","1063"
"3507","1077"
"3508","3085"
"3509","3240"
"3510","1708"
"3511","1007"
"3512","1887"
"3513","2934"
"3514","2377"
"3515","1985"
"3516","1391"
"3517","801"
"3518","213"
"3519","3114"
"3520","2621"
"3521","32"
"3522","2010"
"3523","727"
"3524","3031"
"3525","2381"
"3526","1086"
"3527","1229"
"3528","1854"
"3529","2865"
"3530","1537"
"3531","197"
"3532","1433"
"3533","6"
"3534","3298"
"3535","2033"
"3536","1803"
"3537","254"
"3538","2163"
"3539","2290"
"3540","841"
"3541","2676"
"3542","1785"
"3543","1596"
"3544","2106"
"3545","2967"
"3546","1725"
"3547","1415"
"3548","1156"
"3549","1757"
"3550","1858"
"3551","2135"
"3552","2982"
"3553","63"
"3554","1716"
"3555","2663"
"3556","1048"
"3557","541"
"3558","2315"
"3559","965"
"3560","842"
"3561","2954"
"3562","2283"
"3563","2193"
"3564","1476"
"3565","1030"
"3566","771"
"3567","1771"
"3568","2228"
"3569","1058"
"3570","2199"
"3571","1654"
"3572","847"
"3573","2127"
"3574","1707"
"3575","1249"
"3576","1642"
"3577","2484"
"3578","1786"
"3579","1932"
"3580","969"
"3581","293"
"3582","601"
"3583","2691"
"3584","1920"
"3585","2246"
"3586","2942"
"3587","1422"
"3588","2686"
"3589","1127"
"3590","477"
"3591","1207"
"3592","2787"
"3593","3164"
"3594","2224"
"3595","2914"
"3596","1585"
"3597","2226"
"3598","3286"
"3599","3210"
"3600","1358"
"3601","2746"
"3602","1484"
"3603","2996"
"3604","3260"
"3605","2971"
"3606","545"
"3607","825"
"3608","2674"
"3609","1867"
"3610","2295"
"3611","2338"
"3612","2210"
"3613","865"
"3614","1302"
"3615","806"
"3616","318"
"3617","2659"
"3618","3058"
"3619","3014"
"3620","405"
"3621","2288"
"3622","559"
"3623","565"
"3624","1351"
"3625","3142"
"3626","2528"
"3627","2692"
"3628","705"
"3629","2164"
"3630","3331"
"3631","2215"
"3632","2504"
"3633","3326"
"3634","2175"
"3635","1179"
"3636","433"
"3637","374"
"3638","574"
"3639","1814"
"3640","2604"
"3641","2926"
"3642","289"
