"drug_id","drug_name","drug_quantity","drug_amount","drug_price","drug_unit","case_id"
"14131","甲基苯丙胺","2","500","250","克","3359"
"14132","甲基苯丙胺","1","200","200","袋","3359"
"14133","甲基苯丙胺","5","1000","200","克","3360"
"14134","甲基苯丙胺","2","520","208","克","3360"
"14135","甲基苯丙胺","2","400","200","克","3360"
"14136","冰毒","2","1000","500","克","3360"
"14137","冰毒","2","500","200","克","3360"
"14138","冰毒","3","500","185","克","3360"
"14139","冰毒","5","1000","200","克","3360"
"14140","甲基苯丙胺","1","300","500","克","3361"
"14141","甲基苯丙胺","0","300","600","克","3361"
"14142","冰毒","2","300","150","袋","3361"
"14143","冰毒","1","300","500","克","3361"
"14144","冰毒","1","400","400","袋","3361"
"14145","甲基苯丙胺","1","600","600","袋","3362"
"14146","冰毒","1","600","600","袋","3362"
"14147","甲基苯丙胺","46","0","0","克","3363"
"14148","冰毒","46","250","5","克","3363"
"14149","冰毒","46","75","2","克","3363"
"14150","甲基苯丙胺","1","0","0","包","3364"
"14151","冰毒","1","170","170","包","3364"
"14152","冰毒","1","300","300","包","3364"
"14153","冰毒","1","0","0","包","3365"
"14154","甲基苯丙胺","0","100","476","克","3365"
"14155","甲基苯丙胺","1","0","0","克","3366"
"14156","甲基苯丙胺","1","0","0","克","3366"
"14157","甲基苯丙胺","1","0","0","包","3366"
"14158","甲基苯丙胺","4","2000","557","克","3366"
"14159","甲基苯丙胺","1","200","286","克","3367"
"14160","甲基苯丙胺","1","500","500","克","3367"
"14161","甲基苯丙胺","1","400","500","克","3367"
"14162","甲基苯丙胺","0","200","444","克","3367"
"14163","冰毒","0","200","444","克","3367"
"14164","冰毒","1","500","500","克","3367"
"14165","冰毒","1","400","500","克","3367"
"14166","冰毒","1","200","286","克","3367"
"14167","冰毒","1","200","200","包","3368"
"14168","甲基苯丙胺","1","200","200","包","3368"
"14169","冰毒","2","50","25","包","3368"
"14170","甲基苯丙胺","1","200","200","包","3368"
"14171","甲基苯丙胺","1","200","200","包","3369"
"14172","甲基苯丙胺","1","300","300","包","3369"
"14173","甲基苯丙胺","1","0","0","包","3369"
"14174","甲基苯丙胺","3","900","300","包","3369"
"14175","甲基苯丙胺","0","0","0","克","3370"
"14176","甲基苯丙胺","1","0","0","克","3370"
"14177","甲基苯丙胺","1","0","0","袋","3370"
"14178","甲基苯丙胺","1","200","286","克","3370"
"14179","甲基苯丙胺","1","0","0","克","3370"
"14180","冰毒","1","200","200","袋","3370"
"14181","甲基苯丙胺","49","600","12","克","3370"
"14182","甲基苯丙胺","1","300","300","包","3371"
"14183","甲基苯丙胺","1","200","200","包","3371"
"14184","甲基苯丙胺","1","300","300","包","3372"
"14185","甲基苯丙胺","1","0","0","包","3372"
"14186","甲基苯丙胺","2","0","0","包","3372"
"14187","甲基苯丙胺","1","80","80","包","3372"
"14188","甲基苯丙胺","2","500","250","包","3372"
"14189","甲基苯丙胺","0","960","2133","克","3372"
"14190","冰毒","1","300","300","包","3373"
"14191","甲基苯丙胺","1","400","400","包","3374"
"14192","甲基苯丙胺","4","1500","375","包","3374"
"14193","甲基苯丙胺","1","1500","1049","克","3374"
"14194","甲基苯丙胺","36","1000","28","克","3374"
"14195","甲基苯丙胺","1","300","300","包","3375"
"14196","甲基苯丙胺","1","0","0","包","3375"
"14197","甲基苯丙胺","1","100","100","包","3375"
"14198","冰毒","1","0","0","包","3376"
"14199","大麻","246","12590","51","克","3377"
"14200","大麻","51","6400","125","克","3377"
"14201","大麻","11","1200","108","克","3377"
"14202","大麻","76","94400","1241","克","3377"
"14203","甲基苯丙胺","1","200","200","克","3378"
